# mesh name: dosimeterMesh
# primitive scorer name: doseDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,6,0,0,0
0,0,7,0,0,0
0,0,8,0,0,0
0,0,9,0,0,0
0,0,10,0,0,0
0,0,11,0,0,0
0,0,12,0,0,0
0,0,13,0,0,0
0,0,14,6.410975051173831e-15,4.110060110677331e-29,1
0,0,15,0,0,0
0,0,16,0,0,0
0,0,17,0,0,0
0,0,18,0,0,0
0,0,19,0,0,0
0,0,20,0,0,0
0,0,21,0,0,0
0,0,22,0,0,0
0,0,23,0,0,0
0,0,24,0,0,0
0,0,25,0,0,0
0,0,26,0,0,0
0,0,27,0,0,0
0,0,28,0,0,0
0,0,29,0,0,0
0,0,30,0,0,0
0,0,31,0,0,0
0,0,32,0,0,0
0,0,33,0,0,0
0,0,34,0,0,0
0,0,35,0,0,0
0,0,36,0,0,0
0,0,37,0,0,0
0,0,38,0,0,0
0,0,39,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,1,2,0,0,0
0,1,3,0,0,0
0,1,4,4.791662721746794e-15,2.29600316389779e-29,1
0,1,5,3.282055145924693e-14,1.077188598089076e-27,1
0,1,6,0,0,0
0,1,7,0,0,0
0,1,8,0,0,0
0,1,9,2.658327914844911e-15,7.06670730284369e-30,1
0,1,10,0,0,0
0,1,11,0,0,0
0,1,12,0,0,0
0,1,13,0,0,0
0,1,14,2.611506782809823e-16,6.819967676661713e-32,1
0,1,15,7.198765344988758e-17,5.182222249221112e-33,1
0,1,16,1.864443718734865e-15,3.476150380329893e-30,1
0,1,17,0,0,0
0,1,18,0,0,0
0,1,19,0,0,0
0,1,20,0,0,0
0,1,21,0,0,0
0,1,22,0,0,0
0,1,23,0,0,0
0,1,24,0,0,0
0,1,25,0,0,0
0,1,26,1.007641669509556e-14,1.015341734132004e-28,1
0,1,27,0,0,0
0,1,28,0,0,0
0,1,29,0,0,0
0,1,30,1.385704108685461e-16,1.920175876827767e-32,1
0,1,31,7.209026414382542e-15,5.197006184326521e-29,1
0,1,32,2.118289072705001e-15,4.487148595541412e-30,1
0,1,33,0,0,0
0,1,34,0,0,0
0,1,35,0,0,0
0,1,36,0,0,0
0,1,37,7.825454248152477e-16,6.123773418992764e-31,1
0,1,38,0,0,0
0,1,39,0,0,0
0,2,0,0,0,0
0,2,1,0,0,0
0,2,2,5.480253841616027e-14,3.003318216854723e-27,1
0,2,3,0,0,0
0,2,4,2.687152996238227e-14,7.220791225192081e-28,1
0,2,5,0,0,0
0,2,6,0,0,0
0,2,7,0,0,0
0,2,8,0,0,0
0,2,9,0,0,0
0,2,10,0,0,0
0,2,11,0,0,0
0,2,12,0,0,0
0,2,13,0,0,0
0,2,14,0,0,0
0,2,15,0,0,0
0,2,16,0,0,0
0,2,17,0,0,0
0,2,18,0,0,0
0,2,19,0,0,0
0,2,20,0,0,0
0,2,21,0,0,0
0,2,22,0,0,0
0,2,23,0,0,0
0,2,24,0,0,0
0,2,25,0,0,0
0,2,26,0,0,0
0,2,27,5.290585524426959e-21,2.799029519127608e-41,1
0,2,28,0,0,0
0,2,29,0,0,0
0,2,30,0,0,0
0,2,31,0,0,0
0,2,32,0,0,0
0,2,33,0,0,0
0,2,34,0,0,0
0,2,35,0,0,0
0,2,36,1.248226263015078e-16,1.558068803680587e-32,1
0,2,37,0,0,0
0,2,38,0,0,0
0,2,39,0,0,0
0,3,0,0,0,0
0,3,1,0,0,0
0,3,2,0,0,0
0,3,3,3.710022935924676e-16,1.376427018508715e-31,1
0,3,4,1.568616430470252e-15,2.460557505941235e-30,1
0,3,5,1.461506086434419e-15,2.136000040684853e-30,1
0,3,6,0,0,0
0,3,7,0,0,0
0,3,8,0,0,0
0,3,9,0,0,0
0,3,10,0,0,0
0,3,11,0,0,0
0,3,12,0,0,0
0,3,13,0,0,0
0,3,14,0,0,0
0,3,15,0,0,0
0,3,16,0,0,0
0,3,17,0,0,0
0,3,18,0,0,0
0,3,19,0,0,0
0,3,20,0,0,0
0,3,21,0,0,0
0,3,22,0,0,0
0,3,23,1.628048650026987e-15,2.650542406854695e-30,1
0,3,24,0,0,0
0,3,25,0,0,0
0,3,26,0,0,0
0,3,27,4.795302921085973e-16,2.299493010497566e-31,1
0,3,28,4.890938017401098e-15,2.369635536588605e-29,2
0,3,29,0,0,0
0,3,30,0,0,0
0,3,31,0,0,0
0,3,32,0,0,0
0,3,33,0,0,0
0,3,34,0,0,0
0,3,35,0,0,0
0,3,36,0,0,0
0,3,37,0,0,0
0,3,38,0,0,0
0,3,39,0,0,0
0,4,0,0,0,0
0,4,1,0,0,0
0,4,2,0,0,0
0,4,3,0,0,0
0,4,4,0,0,0
0,4,5,7.161059313648338e-16,5.128077049358962e-31,1
0,4,6,0,0,0
0,4,7,0,0,0
0,4,8,0,0,0
0,4,9,0,0,0
0,4,10,0,0,0
0,4,11,7.397701147824063e-16,5.472598227251745e-31,1
0,4,12,0,0,0
0,4,13,0,0,0
0,4,14,0,0,0
0,4,15,0,0,0
0,4,16,4.654215087754524e-16,2.166171808308185e-31,1
0,4,17,0,0,0
0,4,18,0,0,0
0,4,19,0,0,0
0,4,20,3.027055929818155e-15,9.163067602247254e-30,1
0,4,21,0,0,0
0,4,22,0,0,0
0,4,23,0,0,0
0,4,24,0,0,0
0,4,25,2.946848295212746e-16,8.683914874998267e-32,1
0,4,26,1.465158364216351e-15,2.146689032233133e-30,1
0,4,27,3.263349200450232e-14,1.064944800407917e-27,1
0,4,28,0,0,0
0,4,29,0,0,0
0,4,30,0,0,0
0,4,31,0,0,0
0,4,32,3.965835799801884e-21,1.572785359099025e-41,1
0,4,33,0,0,0
0,4,34,7.533540278915435e-21,5.675422913404126e-41,1
0,4,35,0,0,0
0,4,36,0,0,0
0,4,37,9.7073555127859e-16,9.423275105161479e-31,1
0,4,38,0,0,0
0,4,39,0,0,0
0,5,0,0,0,0
0,5,1,0,0,0
0,5,2,0,0,0
0,5,3,0,0,0
0,5,4,0,0,0
0,5,5,0,0,0
0,5,6,0,0,0
0,5,7,0,0,0
0,5,8,0,0,0
0,5,9,0,0,0
0,5,10,3.537791124784462e-14,1.251596604260371e-27,1
0,5,11,3.334052838285709e-15,1.111590832848099e-29,1
0,5,12,1.552932404048592e-15,1.265454072288135e-30,2
0,5,13,0,0,0
0,5,14,0,0,0
0,5,15,4.437768350963908e-15,1.969378793681692e-29,1
0,5,16,0,0,0
0,5,17,0,0,0
0,5,18,0,0,0
0,5,19,0,0,0
0,5,20,0,0,0
0,5,21,8.931148531451724e-16,7.976541409085228e-31,1
0,5,22,0,0,0
0,5,23,0,0,0
0,5,24,0,0,0
0,5,25,9.789871063065936e-16,9.584157543145576e-31,1
0,5,26,2.72747741683208e-14,6.489880870422055e-28,2
0,5,27,3.226682924844125e-15,7.796371371592816e-30,2
0,5,28,0,0,0
0,5,29,0,0,0
0,5,30,1.627553729791672e-13,2.648931143358784e-26,1
0,5,31,0,0,0
0,5,32,6.873248352100946e-15,4.724154290965837e-29,1
0,5,33,0,0,0
