# mesh name: dosimeterMesh
# primitive scorer name: doseDepAll
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,2.177802491605634e-14,1.41573266654088e-28,7
0,0,1,1.178185832375366e-13,7.285735378105415e-27,14
0,0,2,6.633954719794734e-14,1.827153847154552e-27,12
0,0,3,8.616418673909268e-15,6.32683124448498e-29,4
0,0,4,1.108360653310519e-13,4.341427560478425e-27,16
0,0,5,7.908304372865685e-14,2.326753939863467e-27,13
0,0,6,6.127916044938864e-13,1.265657835532537e-25,17
0,0,7,2.745907336266264e-13,1.934471125766316e-26,22
0,0,8,6.63779837358329e-14,7.682712039655571e-28,15
0,0,9,2.993629868597582e-13,2.028191612221034e-26,24
0,0,10,3.301354647618181e-13,2.61578037650312e-26,15
0,0,11,9.546612941868138e-14,3.394021133778078e-27,15
0,0,12,1.140865315448532e-13,5.071762953363079e-27,22
0,0,13,1.380285456161606e-13,4.46716213910727e-27,21
0,0,14,1.097332153022938e-13,1.822555164097247e-27,21
0,0,15,9.141094955054056e-14,1.600000937859847e-27,24
0,0,16,3.204871176269473e-13,2.546426401427376e-26,34
0,0,17,2.774103253612724e-13,1.057674083429439e-26,30
0,0,18,1.098570695348293e-13,1.916700015845277e-27,24
0,0,19,2.645206099913713e-13,2.312250309574425e-26,21
0,0,20,1.074104510960938e-13,3.170558200630531e-27,22
0,0,21,1.357087939795602e-13,4.187381656681196e-27,28
0,0,22,1.238514036568403e-13,2.345958653599731e-27,23
0,0,23,2.071346557004717e-13,7.76526162671647e-27,24
0,0,24,9.354081971969204e-14,1.368690851494886e-27,26
0,0,25,1.220371540105595e-13,2.359083902152537e-27,26
0,0,26,1.749895335629584e-13,7.933088209913899e-27,22
0,0,27,3.244109250737454e-14,5.642651648597791e-28,18
0,0,28,1.684558387021541e-13,6.038656353409623e-27,20
0,0,29,1.283297423540333e-13,2.642646086149851e-27,20
0,0,30,2.308732934572314e-13,1.951189664792972e-26,16
0,0,31,1.165609206131941e-13,4.411627078401878e-27,21
0,0,32,9.729968722041204e-14,4.16848914974103e-27,12
0,0,33,1.70652981725531e-14,3.988678348180878e-29,13
0,0,34,4.027169374149714e-14,4.803292031245388e-28,8
0,0,35,1.154630053311304e-13,4.008478215424231e-27,14
0,0,36,1.960510168606991e-14,6.765861540483213e-29,9
0,0,37,5.732789782746723e-14,1.635673311496552e-27,8
0,0,38,9.340746381108301e-14,7.018877882252779e-27,6
0,0,39,1.701069779811719e-14,1.087885514707315e-28,4
0,1,0,4.97758623502724e-14,5.721951104554206e-28,18
0,1,1,6.184760276297983e-14,5.623990981912479e-28,33
0,1,2,9.773041411074725e-14,3.580586582155907e-27,31
0,1,3,1.134634449280195e-13,6.436743339774887e-27,26
0,1,4,1.198704041112106e-13,2.513478448406843e-27,30
0,1,5,1.160476867337223e-13,2.803464619305336e-27,32
0,1,6,6.512127353131109e-14,1.095413423796906e-27,27
0,1,7,2.286129880892215e-13,1.001037163275911e-26,33
0,1,8,3.166050881315704e-13,1.890314087204253e-26,40
0,1,9,3.547641121133103e-13,3.441139807729152e-26,43
