# mesh name: dosimeterMesh
# primitive scorer name: doseDepGamma
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,0,0,0
0,0,1,0,0,0
0,0,2,2.864939185153959e-18,8.207876534630628e-36,1
0,0,3,5.706066073396188e-19,3.2559190033963e-37,1
0,0,4,9.746677684584771e-18,2.547320540907014e-35,4
0,0,5,7.909947463687695e-18,2.067246813654358e-35,4
0,0,6,4.610700415457433e-18,1.122336681703838e-35,2
0,0,7,4.537664191347615e-18,8.953818674684187e-36,5
0,0,8,6.077466823735595e-18,1.852821036328153e-35,2
0,0,9,4.943539461096503e-18,2.443858240341831e-35,1
0,0,10,2.961787706175478e-18,8.772186416452203e-36,1
0,0,11,3.476595349110034e-18,1.208671522145352e-35,1
0,0,12,7.007189091685035e-18,1.991543043532792e-35,3
0,0,13,3.461668237613131e-18,5.62557382763749e-36,4
0,0,14,3.717993886017057e-18,7.408585160680649e-36,2
0,0,15,4.060352030863581e-18,8.956428141372869e-36,3
0,0,16,1.101940695145742e-18,4.202557880975733e-37,3
0,0,17,9.24308068332699e-18,2.670285559194458e-35,4
0,0,18,0,0,0
0,0,19,7.621779222174622e-18,2.325597735808804e-35,4
0,0,20,1.040277508366902e-18,1.082177294414051e-36,1
0,0,21,6.760737582135103e-18,2.044508854897908e-35,3
0,0,22,4.37808626129748e-18,8.761519857418641e-36,5
0,0,23,1.723192859349824e-18,9.898841074901614e-37,3
0,0,24,4.710392195811676e-18,1.104068138065284e-35,4
0,0,25,6.383467940671965e-18,2.210630513162149e-35,3
0,0,26,2.850367481073651e-18,8.124594777162151e-36,1
0,0,27,3.85012854394898e-18,7.41177831263255e-36,2
0,0,28,0,0,0
0,0,29,9.889211366692553e-19,5.005789457879052e-37,2
0,0,30,9.480381694375875e-19,8.987763707105717e-37,1
0,0,31,5.521787327892874e-18,1.33767175557215e-35,3
0,0,32,8.572959999341414e-18,3.634583020652873e-35,3
0,0,33,3.641326686700761e-18,8.780326497378663e-36,2
0,0,34,8.364513549509766e-19,3.962653301721764e-37,2
0,0,35,1.487380038440549e-18,7.523974075105093e-37,3
0,0,36,7.022139737039048e-18,2.483347816936399e-35,2
0,0,37,4.365740554185176e-18,1.53798413706751e-35,2
0,0,38,0,0,0
0,0,39,0,0,0
0,1,0,1.040277508366902e-18,1.082177294414051e-36,1
0,1,1,7.60323046686747e-18,2.270601500514745e-35,4
0,1,2,1.237972883846611e-17,3.449835286434234e-35,6
0,1,3,2.658447476113577e-19,7.067342983254649e-38,1
0,1,4,6.427543129079413e-18,1.018999962956236e-35,6
0,1,5,5.0862935001203e-18,1.496076591893616e-35,3
0,1,6,4.307182481687231e-18,1.069383069828926e-35,4
0,1,7,6.37636446109007e-18,1.576011125334151e-35,4
0,1,8,9.295503277274417e-18,2.20932018656307e-35,5
0,1,9,1.868163544578e-17,6.009785072637522e-35,8
0,1,10,7.400648635710311e-18,1.849420664456372e-35,3
0,1,11,1.028933084421491e-17,2.943321363091334e-35,6
0,1,12,1.349908449702487e-17,3.800140690611726e-35,7
0,1,13,9.484897514498142e-18,3.909696306375437e-35,4
0,1,14,1.050055190735361e-17,2.832324933599984e-35,6
0,1,15,5.71530666622761e-18,1.633236514451288e-35,2
0,1,16,6.594940022294594e-18,1.373155446803366e-35,6
0,1,17,1.177563702575983e-17,3.431884603331209e-35,6
0,1,18,1.268502380931923e-17,3.709594839643233e-35,6
0,1,19,2.397192903411715e-17,1.03119368856885e-34,10
0,1,20,2.314140331291415e-17,6.511043018257526e-35,12
0,1,21,2.268565540111357e-18,5.146389609780735e-36,1
0,1,22,5.060823908572102e-18,2.048764331262715e-35,2
0,1,23,1.597396404246829e-17,3.799011966954451e-35,9
0,1,24,1.224532681085944e-17,3.216056904635401e-35,6
0,1,25,1.901180893579461e-17,5.587520101925318e-35,11
0,1,26,7.581373307047712e-18,2.298943282186737e-35,5
0,1,27,1.425379214615953e-17,4.19380167930327e-35,7
0,1,28,2.658447476113577e-19,7.067342983254649e-38,1
0,1,29,4.979572833645331e-18,1.381472671433356e-35,3
0,1,30,6.410430166697572e-18,1.394078347687526e-35,5
0,1,31,3.257486676780613e-18,5.646968555568639e-36,3
0,1,32,3.258375195322109e-18,6.873014356227877e-36,3
0,1,33,1.287427825865486e-17,3.835992294730494e-35,6
0,1,34,4.053998494863359e-18,6.085106374120866e-36,3
0,1,35,1.108624957310014e-18,4.239039202100615e-37,3
0,1,36,1.571789299881321e-18,1.235270669925688e-36,2
0,1,37,4.081494654541684e-18,5.966379407289525e-36,4
0,1,38,0,0,0
0,1,39,2.17953598225488e-18,3.732887571383995e-36,2
0,2,0,5.209128312768928e-18,1.429686188866761e-35,3
0,2,1,1.013906278055724e-17,3.41324328080005e-35,4
0,2,2,3.998866547793042e-18,8.817366372935698e-36,3
0,2,3,1.793332513014401e-17,5.410061313571176e-35,7
0,2,4,2.26963176236115e-18,5.151228336718582e-36,1
0,2,5,5.155945353277903e-18,1.040419507130513e-35,4
0,2,6,5.955384376135985e-18,1.362080983733185e-35,4
0,2,7,3.616092760122677e-18,1.040176056395301e-35,2
0,2,8,4.220463072038598e-18,1.463252328913425e-35,2
0,2,9,8.316888955686363e-18,2.462588905329014e-35,3
0,2,10,5.618458145206085e-18,1.072105704774909e-35,5
0,2,11,0,0,0
0,2,12,8.853731858449673e-18,2.390432452489534e-35,4
0,2,13,1.202574305153973e-17,3.238157340625286e-35,5
0,2,14,1.850464255231682e-17,5.249191841641766e-35,8
0,2,15,8.387615031588299e-18,2.692307210913361e-35,3
0,2,16,6.909475585979162e-18,2.460095338447175e-35,2
0,2,17,4.332416408265316e-18,9.067437842909736e-36,4
0,2,18,5.706066073396188e-19,3.2559190033963e-37,1
0,2,19,4.652993898031949e-18,1.023737032039332e-35,3
0,2,20,1.189500182299553e-17,3.474654573254925e-35,6
0,2,21,4.006152399833197e-18,8.859060335309889e-36,3
0,2,22,1.10595679895324e-17,2.868691224504063e-35,7
0,2,23,1.426606772615151e-17,4.352515830469253e-35,7
0,2,24,1.064960453043658e-17,2.900206560959829e-35,4
0,2,25,1.288200072800282e-17,4.022324236576268e-35,5
0,2,26,7.424595014150948e-18,1.480661233895702e-35,5
0,2,27,6.473923796944785e-18,2.125475515145173e-35,2
0,2,28,5.253099320948766e-18,1.307384700063266e-35,4
0,2,29,1.220759014167314e-17,2.871946634085533e-35,7
0,2,30,4.636822860576983e-18,1.379764271557161e-35,2
0,2,31,5.061001612280391e-19,2.561373731950471e-37,1
0,2,32,1.516143612560745e-17,4.822976943248766e-35,6
0,2,33,3.978786028755558e-18,7.930597662361534e-36,3
0,2,34,1.087013583648845e-18,5.922680655204681e-37,2
0,2,35,4.165552626175038e-18,1.248056074605636e-35,2
0,2,36,7.773293312007773e-18,2.767020533112152e-35,3
0,2,37,6.77051128609141e-18,1.756414419933702e-35,4
0,2,38,3.294804455522856e-18,1.085573640013327e-35,1
0,2,39,2.803619883305837e-18,4.191553625669332e-36,2
0,3,0,1.292127729798142e-18,9.38536554761288e-37,2
0,3,1,2.179891389671472e-18,4.751926470763823e-36,1
0,3,2,4.477337935363931e-18,7.133515775817239e-36,4
0,3,3,0,0,0
