# mesh name: dosimeterMesh
# primitive scorer name: doseDep
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,0,3.22306432138083e-15,4.891200058677781e-30,3
0,0,1,3.159774665517957e-15,5.430001861632734e-30,3
0,0,2,1.678840840755488e-13,1.731106467623442e-26,7
0,0,3,1.295624819303061e-14,4.463889708379669e-29,6
0,0,4,2.754856571473024e-14,4.514811125513209e-28,9
0,0,5,5.254683530898178e-14,1.104381426720596e-27,10
0,0,6,4.330997353270014e-14,6.839014285739219e-28,8
0,0,7,5.43955234125866e-14,6.955315541094731e-28,7
0,0,8,1.247525016524412e-13,1.192252211495863e-26,7
0,0,9,4.948995187749018e-15,1.328683231647002e-29,4
0,0,10,1.553646302244898e-14,6.717546444672007e-29,10
0,0,11,4.774978702756325e-14,1.092543991765635e-27,8
0,0,12,9.937545924940162e-14,2.801180740880329e-27,13
0,0,13,9.650219344087103e-14,3.912010860883285e-27,11
0,0,14,1.875592841519676e-13,7.479469100281732e-27,19
0,0,15,1.566070092797711e-13,7.665799358682732e-27,12
0,0,16,1.528055796032505e-13,2.977267101105811e-27,21
0,0,17,8.418369318924911e-14,1.551094746335381e-27,14
0,0,18,1.450083650444012e-13,1.722145436370263e-26,11
0,0,19,8.780510189799729e-14,1.997604759591732e-27,13
0,0,20,9.587230844249639e-14,3.309240606749549e-27,12
0,0,21,1.395233818659417e-13,9.189170150120658e-27,18
0,0,22,1.776470997522406e-13,5.652534015526115e-27,17
0,0,23,3.491024637732141e-14,4.378481282893951e-28,13
0,0,24,2.170292629635946e-13,9.181666693046483e-27,20
0,0,25,3.090611789918834e-13,2.652024240426864e-26,20
0,0,26,1.410677385144806e-13,4.569885176964642e-27,16
0,0,27,8.473068191033748e-14,3.296161354945139e-27,9
0,0,28,1.615534277838599e-14,1.228484217059125e-28,6
0,0,29,6.157274602768947e-14,1.6203034894847e-27,6
0,0,30,3.04284695660567e-14,2.672237869936662e-28,10
0,0,31,1.973281941819676e-14,2.605846758449726e-28,5
