# mesh name: dosimeterMesh
# primitive scorer name: nOfTrackAll
# iX, iY, iZ, total(value) , total(val^2), entry
0,0,0,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,6,0,0,0
0,0,7,0,0,0
0,0,8,0,0,0
0,0,9,0,0,0
0,0,10,1,1,1
0,0,11,0,0,0
0,0,12,0,0,0
0,0,13,0,0,0
0,0,14,1,1,1
0,0,15,0,0,0
0,0,16,0,0,0
0,0,17,0,0,0
0,0,18,2,2,2
0,0,19,1,1,1
0,0,20,0,0,0
0,0,21,0,0,0
0,0,22,0,0,0
0,0,23,0,0,0
0,0,24,0,0,0
0,0,25,1,1,1
0,0,26,0,0,0
0,0,27,0,0,0
0,0,28,0,0,0
0,0,29,0,0,0
0,0,30,0,0,0
0,0,31,0,0,0
0,0,32,0,0,0
0,0,33,0,0,0
0,0,34,0,0,0
0,0,35,0,0,0
0,0,36,0,0,0
0,0,37,0,0,0
0,0,38,0,0,0
0,0,39,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,1,2,0,0,0
0,1,3,0,0,0
0,1,4,0,0,0
0,1,5,0,0,0
0,1,6,0,0,0
0,1,7,0,0,0
0,1,8,1,1,1
0,1,9,1,1,1
0,1,10,1,1,1
0,1,11,0,0,0
0,1,12,0,0,0
0,1,13,1,1,1
0,1,14,1,1,1
0,1,15,2,2,2
0,1,16,0,0,0
0,1,17,0,0,0
0,1,18,2,2,2
0,1,19,4,4,4
0,1,20,0,0,0
0,1,21,0,0,0
0,1,22,0,0,0
0,1,23,0,0,0
0,1,24,0,0,0
0,1,25,0,0,0
0,1,26,0,0,0
0,1,27,1,1,1
0,1,28,1,1,1
0,1,29,0,0,0
0,1,30,0,0,0
0,1,31,0,0,0
0,1,32,0,0,0
0,1,33,0,0,0
0,1,34,0,0,0
0,1,35,0,0,0
0,1,36,0,0,0
0,1,37,0,0,0
0,1,38,0,0,0
0,1,39,0,0,0
0,2,0,0,0,0
0,2,1,0,0,0
0,2,2,0,0,0
0,2,3,0,0,0
0,2,4,0,0,0
0,2,5,0,0,0
0,2,6,0,0,0
0,2,7,2,4,1
0,2,8,3,5,2
0,2,9,1,1,1
0,2,10,0,0,0
0,2,11,0,0,0
0,2,12,0,0,0
0,2,13,2,2,2
0,2,14,3,5,2
0,2,15,2,2,2
0,2,16,0,0,0
0,2,17,1,1,1
0,2,18,1,1,1
0,2,19,2,2,2
0,2,20,1,1,1
0,2,21,0,0,0
0,2,22,0,0,0
0,2,23,0,0,0
0,2,24,0,0,0
0,2,25,0,0,0
0,2,26,1,1,1
0,2,27,2,2,2
0,2,28,1,1,1
0,2,29,1,1,1
0,2,30,0,0,0
0,2,31,0,0,0
0,2,32,0,0,0
0,2,33,0,0,0
0,2,34,0,0,0
0,2,35,0,0,0
0,2,36,0,0,0
0,2,37,1,1,1
0,2,38,1,1,1
0,2,39,1,1,1
0,3,0,0,0,0
0,3,1,0,0,0
0,3,2,0,0,0
0,3,3,0,0,0
0,3,4,0,0,0
0,3,5,0,0,0
0,3,6,0,0,0
0,3,7,0,0,0
0,3,8,1,1,1
0,3,9,1,1,1
0,3,10,0,0,0
0,3,11,0,0,0
0,3,12,0,0,0
0,3,13,2,2,2
0,3,14,1,1,1
0,3,15,0,0,0
0,3,16,0,0,0
0,3,17,1,1,1
0,3,18,0,0,0
0,3,19,0,0,0
0,3,20,1,1,1
0,3,21,0,0,0
0,3,22,0,0,0
0,3,23,0,0,0
0,3,24,0,0,0
0,3,25,0,0,0
0,3,26,1,1,1
0,3,27,0,0,0
0,3,28,1,1,1
0,3,29,0,0,0
0,3,30,0,0,0
0,3,31,0,0,0
0,3,32,0,0,0
0,3,33,0,0,0
0,3,34,0,0,0
0,3,35,0,0,0
0,3,36,0,0,0
0,3,37,0,0,0
0,3,38,0,0,0
0,3,39,0,0,0
0,4,0,0,0,0
0,4,1,0,0,0
0,4,2,0,0,0
0,4,3,0,0,0
0,4,4,0,0,0
0,4,5,0,0,0
0,4,6,1,1,1
0,4,7,2,2,2
0,4,8,2,2,2
0,4,9,2,2,2
0,4,10,0,0,0
0,4,11,0,0,0
0,4,12,0,0,0
0,4,13,1,1,1
0,4,14,1,1,1
0,4,15,2,2,2
0,4,16,0,0,0
0,4,17,0,0,0
0,4,18,0,0,0
0,4,19,0,0,0
0,4,20,0,0,0
0,4,21,0,0,0
0,4,22,0,0,0
0,4,23,0,0,0
0,4,24,0,0,0
0,4,25,0,0,0
0,4,26,0,0,0
0,4,27,0,0,0
0,4,28,0,0,0
0,4,29,0,0,0
0,4,30,1,1,1
0,4,31,0,0,0
0,4,32,0,0,0
0,4,33,0,0,0
0,4,34,0,0,0
0,4,35,0,0,0
0,4,36,0,0,0
0,4,37,0,0,0
0,4,38,0,0,0
0,4,39,0,0,0
0,5,0,0,0,0
0,5,1,0,0,0
0,5,2,0,0,0
0,5,3,0,0,0
0,5,4,0,0,0
0,5,5,0,0,0
0,5,6,0,0,0
0,5,7,0,0,0
0,5,8,0,0,0
0,5,9,1,1,1
0,5,10,1,1,1
0,5,11,0,0,0
0,5,12,0,0,0
0,5,13,0,0,0
0,5,14,0,0,0
0,5,15,2,2,2
0,5,16,1,1,1
0,5,17,0,0,0
0,5,18,0,0,0
0,5,19,1,1,1
0,5,20,1,1,1
0,5,21,1,1,1
0,5,22,0,0,0
0,5,23,0,0,0
0,5,24,0,0,0
0,5,25,2,2,2
0,5,26,1,1,1
0,5,27,0,0,0
0,5,28,0,0,0
0,5,29,1,1,1
0,5,30,1,1,1
0,5,31,0,0,0
0,5,32,0,0,0
0,5,33,0,0,0
0,5,34,0,0,0
0,5,35,0,0,0
0,5,36,0,0,0
0,5,37,0,0,0
0,5,38,0,0,0
0,5,39,0,0,0
0,6,0,0,0,0
0,6,1,0,0,0
0,6,2,0,0,0
0,6,3,1,1,1
0,6,4,2,4,1
0,6,5,0,0,0
0,6,6,0,0,0
0,6,7,2,4,1
0,6,8,0,0,0
0,6,9,0,0,0
0,6,10,1,1,1
0,6,11,1,1,1
0,6,12,0,0,0
0,6,13,0,0,0
0,6,14,1,1,1
0,6,15,1,1,1
0,6,16,1,1,1
0,6,17,2,2,2
0,6,18,0,0,0
0,6,19,1,1,1
0,6,20,0,0,0
0,6,21,1,1,1
0,6,22,0,0,0
0,6,23,0,0,0
0,6,24,3,5,2
0,6,25,1,1,1
0,6,26,2,4,1
0,6,27,2,4,1
0,6,28,1,1,1
0,6,29,1,1,1
0,6,30,1,1,1
0,6,31,0,0,0
0,6,32,0,0,0
0,6,33,1,1,1
0,6,34,1,1,1
0,6,35,1,1,1
0,6,36,0,0,0
0,6,37,1,1,1
0,6,38,1,1,1
0,6,39,1,1,1
0,7,0,1,1,1
0,7,1,1,1,1
0,7,2,0,0,0
0,7,3,0,0,0
0,7,4,0,0,0
0,7,5,0,0,0
0,7,6,0,0,0
0,7,7,2,4,1
0,7,8,0,0,0
0,7,9,0,0,0
0,7,10,0,0,0
0,7,11,1,1,1
0,7,12,2,2,2
0,7,13,1,1,1
0,7,14,0,0,0
0,7,15,2,2,2
0,7,16,0,0,0
