# mesh name: dosimeterMesh
# primitive scorer name: nOfTrackAntiNeutrino
# iX, iY, iZ, total(value) , total(val^2), entry
0,0,0,192,192,192
0,0,1,183,183,183
0,0,2,204,204,204
0,0,3,240,240,240
0,0,4,276,276,276
0,0,5,268,268,268
0,0,6,294,294,294
0,0,7,315,315,315
0,0,8,338,338,338
0,0,9,387,387,387
0,0,10,402,402,402
0,0,11,450,450,450
0,0,12,489,489,489
0,0,13,476,478,475
0,0,14,530,530,530
0,0,15,603,603,603
0,0,16,546,546,546
0,0,17,614,614,614
0,0,18,597,597,597
0,0,19,556,558,555
0,0,20,544,544,544
0,0,21,599,599,599
0,0,22,603,603,603
0,0,23,564,566,563
0,0,24,529,529,529
0,0,25,476,476,476
0,0,26,464,466,463
0,0,27,454,454,454
0,0,28,434,434,434
0,0,29,417,419,416
0,0,30,408,408,408
0,0,31,342,342,342
0,0,32,314,314,314
0,0,33,277,277,277
0,0,34,228,228,228
0,0,35,237,237,237
0,0,36,196,196,196
0,0,37,215,215,215
0,0,38,192,192,192
0,0,39,184,184,184
0,1,0,185,185,185
0,1,1,190,190,190
0,1,2,225,225,225
0,1,3,249,249,249
0,1,4,288,288,288
0,1,5,299,299,299
0,1,6,300,300,300
0,1,7,318,318,318
0,1,8,353,353,353
0,1,9,409,409,409
0,1,10,448,448,448
0,1,11,472,472,472
0,1,12,528,530,527
0,1,13,573,575,572
0,1,14,599,599,599
0,1,15,666,666,666
0,1,16,622,622,622
0,1,17,641,641,641
0,1,18,623,623,623
0,1,19,595,595,595
0,1,20,576,576,576
0,1,21,674,674,674
0,1,22,622,622,622
0,1,23,612,614,611
0,1,24,578,578,578
0,1,25,513,513,513
0,1,26,498,498,498
0,1,27,518,518,518
0,1,28,485,485,485
0,1,29,436,436,436
0,1,30,382,382,382
0,1,31,343,343,343
0,1,32,323,323,323
0,1,33,284,284,284
0,1,34,268,268,268
0,1,35,263,263,263
0,1,36,225,225,225
0,1,37,230,230,230
0,1,38,190,190,190
0,1,39,187,187,187
0,2,0,179,179,179
0,2,1,183,183,183
0,2,2,192,192,192
0,2,3,212,212,212
0,2,4,260,260,260
0,2,5,324,324,324
0,2,6,356,356,356
0,2,7,354,354,354
0,2,8,400,402,399
0,2,9,489,489,489
0,2,10,441,441,441
0,2,11,461,461,461
0,2,12,519,523,517
0,2,13,578,580,577
0,2,14,630,630,630
0,2,15,680,682,679
0,2,16,697,697,697
0,2,17,673,673,673
0,2,18,645,645,645
0,2,19,682,682,682
0,2,20,676,676,676
0,2,21,697,697,697
0,2,22,675,675,675
0,2,23,674,674,674
0,2,24,630,630,630
0,2,25,586,586,586
0,2,26,521,521,521
0,2,27,512,512,512
