# mesh name: dosimeterMesh
# primitive scorer name: nOfTrackNeutron
# iX, iY, iZ, total(value) , total(val^2), entry
0,0,0,0,0,0
0,0,1,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,6,8,50,2
0,0,7,1,1,1
0,0,8,0,0,0
0,0,9,0,0,0
0,0,10,0,0,0
0,0,11,5,25,1
0,0,12,0,0,0
0,0,13,4,16,1
0,0,14,0,0,0
0,0,15,0,0,0
0,0,16,2,4,1
0,0,17,0,0,0
0,0,18,0,0,0
0,0,19,10,68,2
0,0,20,2,4,1
0,0,21,0,0,0
0,0,22,6,20,2
0,0,23,2,2,2
0,0,24,2,4,1
0,0,25,0,0,0
0,0,26,0,0,0
0,0,27,4,16,1
0,0,28,3,9,1
0,0,29,0,0,0
0,0,30,2,4,1
0,0,31,9,53,2
0,0,32,3,9,1
0,0,33,0,0,0
0,0,34,0,0,0
0,0,35,2,4,1
0,0,36,0,0,0
0,0,37,0,0,0
0,0,38,7,49,1
0,0,39,0,0,0
0,1,0,0,0,0
0,1,1,0,0,0
0,1,2,0,0,0
0,1,3,4,8,2
0,1,4,3,5,2
0,1,5,5,25,1
0,1,6,12,40,4
0,1,7,6,20,2
0,1,8,13,41,5
0,1,9,10,20,5
0,1,10,8,20,4
0,1,11,21,65,8
0,1,12,5,9,3
0,1,13,9,33,3
0,1,14,6,10,4
0,1,15,19,53,8
0,1,16,14,46,5
0,1,17,11,21,6
0,1,18,23,51,12
0,1,19,29,123,12
0,1,20,21,137,5
0,1,21,30,114,11
0,1,22,44,226,12
0,1,23,41,177,14
0,1,24,14,34,7
0,1,25,13,37,5
0,1,26,10,16,7
0,1,27,17,31,10
0,1,28,20,50,9
0,1,29,17,39,9
0,1,30,5,9,3
0,1,31,28,122,8
0,1,32,39,191,12
0,1,33,17,67,7
0,1,34,6,12,3
0,1,35,11,45,4
0,1,36,11,19,7
0,1,37,9,25,4
0,1,38,10,28,4
0,1,39,10,68,2
0,2,0,0,0,0
0,2,1,0,0,0
0,2,2,4,8,2
0,2,3,0,0,0
0,2,4,0,0,0
0,2,5,15,93,4
0,2,6,11,37,4
0,2,7,0,0,0
0,2,8,10,28,4
0,2,9,8,24,3
0,2,10,4,8,2
0,2,11,6,20,2
0,2,12,14,52,5
0,2,13,6,12,3
0,2,14,15,37,7
0,2,15,15,43,7
0,2,16,22,74,9
0,2,17,10,18,6
0,2,18,5,9,3
0,2,19,7,9,6
0,2,20,8,24,3
0,2,21,30,134,9
0,2,22,26,78,11
0,2,23,27,79,11
0,2,24,26,126,8
0,2,25,25,87,10
0,2,26,25,111,9
0,2,27,9,17,5
0,2,28,9,17,5
0,2,29,8,14,5
0,2,30,1,1,1
0,2,31,11,85,2
0,2,32,25,197,5
0,2,33,24,106,8
0,2,34,13,49,5
0,2,35,15,43,7
0,2,36,7,13,4
0,2,37,16,40,7
0,2,38,18,66,7
0,2,39,0,0,0
0,3,0,0,0,0
0,3,1,2,4,1
0,3,2,0,0,0
0,3,3,2,4,1
0,3,4,2,4,1
0,3,5,2,4,1
0,3,6,5,25,1
0,3,7,2,4,1
0,3,8,2,4,1
0,3,9,5,13,2
0,3,10,2,4,1
0,3,11,0,0,0
0,3,12,7,37,2
0,3,13,10,26,5
0,3,14,10,46,3
0,3,15,8,24,3
0,3,16,8,26,3
0,3,17,7,13,4
0,3,18,2,4,1
0,3,19,7,21,3
0,3,20,10,20,5
0,3,21,24,84,9
0,3,22,14,44,5
0,3,23,5,13,2
0,3,24,7,13,4
0,3,25,3,5,2
0,3,26,7,15,4
0,3,27,7,29,2
0,3,28,4,8,2
0,3,29,2,4,1
0,3,30,2,4,1
0,3,31,14,84,3
0,3,32,14,78,3
0,3,33,2,4,1
0,3,34,6,12,3
0,3,35,6,10,4
0,3,36,3,5,2
0,3,37,2,4,1
0,3,38,11,35,5
0,3,39,3,5,2
0,4,0,0,0,0
0,4,1,4,6,3
0,4,2,3,5,2
0,4,3,0,0,0
0,4,4,2,4,1
0,4,5,0,0,0
0,4,6,0,0,0
0,4,7,2,4,1
0,4,8,5,13,2
0,4,9,11,21,6
0,4,10,11,85,2
0,4,11,14,94,3
0,4,12,20,210,4
0,4,13,15,117,3
0,4,14,44,830,8
0,4,15,33,849,3
0,4,16,12,72,3
0,4,17,2,4,1
0,4,18,5,17,2
0,4,19,5,13,2
0,4,20,9,25,4
0,4,21,11,29,5
0,4,22,5,9,3
0,4,23,2,4,1
0,4,24,3,5,2
0,4,25,5,9,3
0,4,26,6,12,3
0,4,27,15,81,4
0,4,28,7,15,4
0,4,29,4,8,2
0,4,30,10,52,2
0,4,31,15,45,6
0,4,32,2,4,1
0,4,33,9,33,3
0,4,34,4,8,2
0,4,35,6,12,3
0,4,36,4,8,2
0,4,37,6,20,2
0,4,38,19,35,11
0,4,39,0,0,0
0,5,0,0,0,0
0,5,1,4,8,2
0,5,2,0,0,0
0,5,3,2,4,1
0,5,4,4,10,2
0,5,5,2,4,1
0,5,6,2,4,1
0,5,7,27,161,8
0,5,8,17,93,4
0,5,9,20,180,6
0,5,10,5,9,3
0,5,11,4,16,1
0,5,12,16,74,5
0,5,13,18,92,4
0,5,14,28,110,11
0,5,15,18,42,9
0,5,16,17,59,6
0,5,17,17,59,7
0,5,18,14,32,8
0,5,19,14,28,7
0,5,20,17,39,8
0,5,21,17,33,9
0,5,22,24,168,8
0,5,23,26,194,8
0,5,24,11,29,5
0,5,25,24,64,11
0,5,26,25,89,10
0,5,27,14,36,6
0,5,28,13,23,8
0,5,29,23,93,9
0,5,30,21,101,6
0,5,31,6,10,4
0,5,32,10,20,5
0,5,33,24,190,7
0,5,34,14,44,5
0,5,35,8,16,4
0,5,36,4,8,2
0,5,37,3,5,2
0,5,38,11,29,5
0,5,39,0,0,0
0,6,0,0,0,0
0,6,1,0,0,0
0,6,2,0,0,0
0,6,3,13,145,2
0,6,4,5,9,3
0,6,5,19,115,7
0,6,6,15,75,6
0,6,7,33,229,8
0,6,8,24,192,5
0,6,9,19,261,3
0,6,10,8,16,4
0,6,11,11,57,3
0,6,12,13,41,5
0,6,13,17,41,8
0,6,14,12,22,7
0,6,15,30,110,12
0,6,16,18,90,6
0,6,17,20,80,8
0,6,18,28,144,9
0,6,19,19,49,8
0,6,20,31,121,10
0,6,21,19,85,7
0,6,22,11,19,7
0,6,23,16,30,9
0,6,24,32,126,14
0,6,25,51,311,16
0,6,26,41,145,16
0,6,27,28,70,12
0,6,28,18,32,11
0,6,29,37,155,15
0,6,30,13,27,7
0,6,31,14,28,7
0,6,32,2,4,1
0,6,33,20,118,7
0,6,34,15,31,8
0,6,35,7,13,4
0,6,36,11,25,5
0,6,37,12,22,7
0,6,38,17,59,7
0,6,39,3,5,2
0,7,0,0,0,0
0,7,1,0,0,0
0,7,2,3,5,2
0,7,3,19,209,3
0,7,4,4,6,3
0,7,5,16,56,5
0,7,6,16,34,8
0,7,7,16,66,6
0,7,8,11,21,6
0,7,9,14,36,6
0,7,10,3,5,2
0,7,11,31,141,13
0,7,12,30,148,10
0,7,13,16,60,6
0,7,14,23,61,10
0,7,15,22,90,8
0,7,16,29,103,11
