# Det
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
1490.38 511.249 -50 0.292177 0.106377 0.971441 18.3991 22 9353 1001 1 1 0.766029 0.766029 2 
-708.565 -1190.66 -50 -0.198272 -0.274879 1.0349 19.3761 22 11065 1001 1 1 0.155379 0.155379 2 
141.73 1363.58 -50 0.0329755 0.127723 0.493679 18.3226 22 16082 1050 1002 1 0.0796165 0.0796165 2 
-505.485 958.553 -50 -0.100474 0.122794 0.823821 18.0637 22 16262 1001 1 1 0.69709 0.69709 5 
327.053 -576.447 -50 0.0764439 -0.165045 1.26544 17.7606 22 17885 1001 1 1 1.02323 1.02323 4 
-77.3214 999.888 -50 -0.0127624 0.147588 0.771336 17.9846 22 19000 1008 1 1 0.278327 0.278327 3 
1617.91 -10.4054 -50 0.295431 0.0408356 0.829208 18.8177 22 19856 1001 1 1 0 0 1 
-1038.5 484.474 -50 -0.336913 0.168777 1.53805 18.0463 22 21507 1001 1 1 0 0 1 
1867.71 974.714 -50 0.226479 0.123294 0.595478 18.9017 22 24736 1001 1 1 0.0065162 0.0065162 2 
873.926 -1273.51 -50 0.161587 -0.191285 0.705648 18.9593 22 27190 1001 1 1 0.380624 0.380624 3 
-466.693 211.653 -50 -0.0596381 0.00793458 0.584366 17.7249 22 28028 1001 1 1 0.380479 0.380479 3 
-1322.76 -453.782 -50 -0.129636 -0.0799761 0.54298 18.5178 22 34093 1001 1 1 0 0 1 
-1808.4 1523.04 -50 -0.384622 0.307618 1.06431 19.3652 22 34523 1001 1 1 0.503555 0.503555 2 
-1291.38 89.3407 -50 -0.131535 -0.013563 0.41128 19.3781 22 35838 1001 1 1 0.0144838 0.0144838 2 
-668.874 751.559 -50 -0.105618 0.155017 0.880797 18.0119 22 40387 1001 1 1 0 0 1 
1231.69 -1665.93 -50 0.17363 -0.170413 0.563934 19.9207 22 44220 1001 1 1 0.406425 0.406425 2 
-322.268 -1822.54 -50 -0.0189621 -0.235294 0.5726 19.1762 22 46030 1001 1 1 0 0 1 
234.676 540.611 -50 0.0354319 0.0727094 0.876192 17.8269 22 48843 1001 1 1 0.734527 0.734527 5 
-972.611 1156.39 -50 -0.159107 0.146711 0.738772 19.0038 22 51839 1001 1 1 0.643161 0.643161 3 
1505.83 -1170.65 -50 0.286281 -0.237086 1.06459 18.8591 22 52089 1010 1 1 0 0 1 
-1176.2 982.42 -50 -0.21663 0.130639 0.835442 18.6557 22 57880 1001 1 1 0 0 1 
-1602.49 -997.018 -50 -0.180606 -0.130724 0.539348 18.9774 22 58764 1001 1 1 0.583586 0.583586 16 
-1482.28 660.63 -50 -0.475198 0.165162 1.34864 19.3559 22 60961 1001 1 1 0 0 1 
-122.677 -1349.98 -50 -0.0213849 -0.104716 0.36867 18.3645 22 66082 1015 1 1 0 0 1 
370.417 -52.3424 -50 0.11463 -0.0979402 1.56313 17.8045 22 67567 1001 1 1 1.42534 1.42534 8 
-4.807 -557.654 -50 -0.0471346 -0.19165 1.57993 17.7594 22 69882 1001 1 1 0 0 1 
1881.72 495.322 -50 0.125356 0.0233093 0.36017 19.121 22 73943 1001 1 1 0.220853 0.220853 2 
1270.86 1914.63 -50 0.0828948 0.113293 0.294235 21.9189 22 74988 1011 1 1 0.325979 0.325979 6 
-952.938 -1486.88 -50 -0.133371 -0.21004 0.675888 18.3804 22 75587 1001 1 1 0.602558 0.602558 3 
520.304 1038.22 -50 0.0805637 0.163974 0.650938 18.2213 22 81896 1009 1 1 0 0 1 
1502.99 1403.88 -50 0.307549 0.255914 0.87761 20.2144 22 84162 1001 1 1 0 0 1 
-1894.51 -530.859 -50 -0.371558 -0.131299 0.836973 19.9062 22 88821 1001 1 1 0 0 1 
-1660.45 -1958.8 -50 -0.332034 -0.444048 1.05178 19.886 22 91938 1001 1 1 1.00299 1.00299 3 
