# Det2
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Edep VisibleEdep Ntracks
-259.291 -1769.99 -50 -0.0471346 -0.19165 1.57993 51.4027 22 69882 1001 1 1 0 0 1 
197.995 -816.101 -50 0.0233168 -0.0760962 1.07363 52.0785 22 145883 1001 1 1 0 0 1 
-374.383 -81.8125 -50 -0.0178829 0.0143715 1.31837 51.5442 22 150076 1001 1 1 0 0 1 
1473.32 -1433.24 -50 0.0689886 -0.0829122 0.808179 51.4436 22 154762 1001 1 1 0.0171394 0.0171394 2 
-1660.71 -367.068 -50 -0.0971677 -0.0434727 0.717712 51.4793 22 195691 1001 1 1 0.0435233 0.0435233 2 
-1062.69 507.293 -50 0.00871076 0.110191 1.46829 51.7371 22 304523 1001 1 1 0.400872 0.400872 2 
1128.48 1534.64 -50 0.133795 0.182866 1.79887 51.3767 22 328025 1001 1 1 1.58138 1.58138 3 
-13.808 1394.26 -50 -0.00228767 0.0371132 0.761193 51.2876 22 401254 1001 1 1 0 0 1 
203.191 -940.602 -50 0.0140774 -0.0647751 0.84331 51.3267 22 438760 1001 1 1 0 0 1 
-1870.24 -116.218 -50 -0.0916817 -0.00753643 0.760152 51.2602 22 533123 1001 1 1 0 0 1 
-335.079 -765.928 -50 -0.0235062 -0.0518708 0.915863 50.9799 22 578287 1012 1 1 0.0439527 0.0439527 2 
-379.255 1940.29 -50 -0.0216494 0.182274 1.2862 51.5539 22 624242 1001 1 1 0.58835 0.58835 3 
1938.14 -1524.9 -50 0.111921 -0.0940566 0.953398 51.8348 22 680982 1001 1 1 0.45124 0.45124 3 
1401.27 1276.44 -50 0.0206953 -0.0115145 0.591036 52.5337 22 690333 1001 1 1 0 0 1 
-1546.05 -1170.88 -50 -0.0594876 -0.0515445 0.584215 51.6879 22 801263 1001 1 1 0 0 1 
-35.2259 1403.67 -50 -0.0201053 0.0961583 1.06276 51.5788 22 873453 1001 1 1 0.925301 0.925301 4 
-1703.54 -7.4511 -50 -0.05604 0.00544961 0.544201 51.4732 22 883146 1001 1 1 0.0151875 0.0151875 2 
1282.27 1438.37 -50 0.144848 0.13602 1.48494 51.4876 22 919594 1001 1 1 0 0 1 
1648.83 1119.14 -50 0.17597 0.207458 1.22307 52.0562 22 940864 1001 1 1 0 0 1 
984.18 464.217 -50 0.0239899 0.0893406 0.488262 52.2141 22 964036 1010 1 1 0.287322 0.287322 3 
-1002.33 655.953 -50 -0.0409627 0.0379448 0.882391 51.4548 22 995806 1001 1 1 0.408454 0.408454 2 
-1838.47 1909.84 -50 -0.0875057 0.103957 0.721178 52.181 22 1035903 1001 1 1 0 0 1 
574.437 -831.12 -50 0.0622033 -0.0747035 1.12176 51.5358 22 1071274 1001 1 1 0 0 1 
-831.359 -1307.73 -50 -0.0829268 -0.0775827 1.13475 51.926 22 1100147 1001 1 1 1.07156 1.07156 9 
-1190.87 710.032 -50 0.00499074 0.0487051 1.00253 51.3573 22 1274337 1011 1 1 0 0 1 
1494.61 -1904.34 -50 0.137886 -0.168896 1.23682 51.8234 22 1429453 1001 1 1 0 0 1 
464.821 269.764 -50 0.0364675 0.00192473 0.842067 51.6936 22 1530352 1001 1 1 0 0 1 
-1087.52 -462.809 -50 -0.0373731 -0.0187153 0.495416 51.3314 22 1550135 1001 1 1 0.436583 0.436583 8 
985.808 484.196 -50 0.0534106 0.0234468 0.827897 51.0225 22 1559342 1001 1 1 0.635027 0.635027 3 
1846.94 710.76 -50 0.0788215 0.0291037 0.640056 51.2872 22 1635537 1020 1 1 0.445822 0.445822 2 
1971.89 -1670.67 -50 0.103633 -0.00158218 0.641587 52.3426 22 1720589 1001 1 1 0.333297 0.333297 2 
653.654 -342.037 -50 0.0367631 -0.0238131 0.933327 50.9298 22 1729467 1001 1 1 0 0 1 
-1560.22 -439.91 -50 -0.082534 -0.0192561 0.876079 51.2262 22 1732090 1001 1 1 0.262746 0.262746 2 
-757.959 -1275.83 -50 -0.0904129 -0.132696 1.32327 53.218 22 1777599 1001 1 1 0 0 1 
852.284 -1608.66 -50 0.0415089 -0.088437 0.928317 51.83 22 1980515 1032 1 1 0.666536 0.666536 3 
-434.561 -1744.13 -50 -0.0118132 -0.090438 0.785893 51.3594 22 1983384 1001 1 1 0 0 1 
583.035 -167.579 -50 0.110949 -0.165954 0.890711 52.7913 22 2114825 1001 1 1 0.322689 0.322689 2 
-1823.41 1731.32 -50 -0.0946923 0.0958494 0.810524 53.2746 22 2139434 1001 1 1 0.581154 0.581154 2 
547.95 -523.279 -50 0.00323708 -0.00722296 0.0667603 52.5582 22 2339040 1009 1 1 0.0129453 0.0129453 2 
1762.72 -795.39 -50 0.132599 -0.0714821 1.04497 51.5308 22 2578749 1001 1 1 0 0 1 
873.434 -1638.3 -50 0.122919 -0.19245 1.62472 51.7894 22 2603739 1001 1 1 0 0 1 
-578.627 231.878 -50 -0.029726 0.0191095 0.594604 51.7669 22 2604317 1001 1 1 0 0 1 
-1188.01 -809.386 -50 -0.0422468 -0.0359075 0.666834 51.5289 22 2628064 1008 1 1 0 0 1 
-1757.6 -128.907 -50 -0.105022 -0.00827278 0.979791 51.239 22 2633107 1001 1 1 0 0 1 
1723.42 -385.467 -50 0.164461 -0.039491 1.42727 51.2159 22 2655928 1001 1 1 0.749213 0.749213 2 
1212.92 -928.101 -50 0.0434898 -0.0431744 0.582076 51.7585 22 2677857 1001 1 1 0.0951127 0.0951127 2 
508.255 -241.908 -50 0.0208615 -0.0280394 0.857215 51.4331 22 2706669 1001 1 1 0.657531 0.657531 4 
-594.403 -1694.58 -50 -0.0321696 -0.102222 0.960934 51.5233 22 2957621 1030 1 1 0.699195 0.699195 2 
-23.2275 -898.697 -50 -0.00542175 -0.0629429 0.896839 51.0961 22 3192201 1001 1 1 0.550379 0.550379 3 
-1093.74 -1300.51 -50 -0.0800704 -0.104302 1.12452 51.3354 22 3281870 1001 1 1 0.839073 0.839073 2 
-1014.88 -1478.26 -50 -0.0409119 -0.0559086 0.565768 51.1585 22 3282466 1012 1 1 0 0 1 
-1949.89 -179.582 -50 -0.079243 -0.0178514 0.640187 51.5116 22 3483480 1001 1 1 0 0 1 
-1336.7 1377.45 -50 -0.0819748 0.116331 0.425766 53.6128 22 3527913 1001 1 1 0.400008 0.400008 14 
-482.05 501.189 -50 -0.0252796 0.0308456 0.613146 51.5016 22 3543250 1001 1 1 0.271418 0.271418 3 
-552.695 -1166.52 -50 -0.0625876 -0.0915017 1.16626 51.6042 22 3774160 1001 1 1 0.721824 0.721824 3 
-1504.05 58.6057 -50 -0.131418 0.00265024 1.28961 51.1289 22 3887610 1001 1 1 0.191491 0.191491 2 
861.321 -1627.72 -50 0.0510507 -0.111615 1.21777 53.7358 22 3902117 1001 1 1 1.14412 1.14412 11 
1740.33 1712.58 -50 0.113481 0.0983185 0.960842 51.7179 22 3950252 1001 1 1 0 0 1 
1034.83 -1482.7 -50 0.0841071 -0.0851369 1.12071 52.1801 22 4018690 1001 1 1 0.439667 0.439667 3 
1816.23 1449.23 -50 0.0748337 0.280534 1.07033 53.1003 22 4047252 1001 1 1 0.760662 0.760662 3 
-1312.22 31.2216 -50 -0.0925993 -0.00807559 0.911421 51.4276 22 4083845 1001 1 1 0 0 1 
-1163.27 1269.64 -50 -0.0422506 0.0395223 0.542564 51.464 22 4174711 1001 1 1 0.436539 0.436539 4 
-1945.18 1713.55 -50 -0.0619465 0.0517135 0.470723 51.533 22 4244761 1013 1 1 0.222789 0.222789 3 
162.875 948.298 -50 0.116098 0.219224 0.980031 53.7576 22 4298203 1001 1 1 0 0 1 
-812.104 -492.784 -50 -0.0467738 -0.0240364 0.823268 52.6793 22 4326381 1001 1 1 0.616126 0.616126 3 
968.128 1598.95 -50 0.00340958 0.0138804 0.0733491 51.7545 22 4381025 1032 1017 1 0.0118909 0.0118909 2 
-1093.34 1209.63 -50 -0.0358483 0.0124006 0.12856 55.214 22 4382463 1001 1 1 0.0226469 0.0226469 3 
-1877.76 1244.88 -50 -0.18698 0.102983 1.41173 51.774 22 4396298 1001 1 1 0 0 1 
-1097.58 -61.0131 -50 -0.0598437 -4.09469e-05 0.671054 51.4448 22 4481527 1001 1 1 0 0 1 
-681.8 942.696 -50 -0.0691219 0.0842376 1.09976 51.8029 22 4531416 1001 1 1 0 0 1 
-793.209 -405.916 -50 -0.0922094 -0.0563978 2.09528 51.0743 22 4545267 1001 1 1 0 0 1 
-585.42 1998.58 -50 -0.0158858 0.0537414 0.390739 51.5121 22 4574646 1001 1 1 0 0 1 
-35.0177 -612.671 -50 -0.00672638 -0.0214614 0.702489 50.9341 22 4668959 1001 1 1 0.576087 0.576087 8 
1693.41 -318.093 -50 0.0742868 -0.00696861 0.594948 51.4418 22 4785605 1001 1 1 0.338467 0.338467 4 
-1706.08 -1830.4 -50 -0.07791 -0.0884637 0.754423 52.059 22 4860384 1001 1 1 0 0 1 
1628.24 -960.237 -50 0.0771394 -0.0474793 0.618901 52.7975 22 4976215 1001 1 1 0.377112 0.377112 4 
1878.97 -16.1467 -50 0.0747917 0.00218578 0.661742 51.4966 22 5050107 1001 1 1 0.605028 0.605028 8 
1802.72 1145.94 -50 0.100586 0.0577478 0.732905 51.9405 22 5108800 1001 1 1 0.536159 0.536159 8 
218.637 725.506 -50 0.013102 0.0466503 1.037 53.0057 22 5117208 1001 1 1 0 0 1 
-567.171 806.124 -50 -0.0595367 0.0631311 1.08955 51.9193 22 5160333 1001 1 1 0 0 1 
1973.07 -1275.99 -50 0.0490607 -0.0236789 0.328852 51.8629 22 5407359 1001 1 1 0.184965 0.184965 2 
-327.531 -748.253 -50 -0.0393641 -0.047989 1.05786 51.5339 22 5592186 1001 1 1 0.815275 0.815275 2 
-289.151 -717.137 -50 -0.00738484 -0.0344089 0.566842 51.2085 22 5660773 1001 1 1 0 0 1 
-1172.33 251.02 -50 -0.0669643 0.0306392 0.921236 51.5557 22 5673830 1001 1 1 0.355417 0.355417 3 
-1305.62 1287.35 -50 -0.0431048 0.0436709 0.439377 51.8821 22 5696369 1001 1 1 0.383509 0.383509 8 
170.989 1917.52 -50 0.00430249 0.134489 1.02341 51.6082 22 5764661 1001 1 1 0.295299 0.295299 3 
-1215.19 -1221.88 -50 -0.0267685 -0.0125211 0.135721 52.1355 22 5771777 1001 1 1 0.0893526 0.0893526 8 
-207.075 -1308.25 -50 -0.0141965 -0.0424185 0.481575 52.835 22 5852592 1001 1 1 0 0 1 
1614.01 -1348.83 -50 0.104742 -0.0793678 0.976349 51.7073 22 5886299 1001 1 1 0 0 1 
-580.568 -1568.58 -50 -0.026273 -0.108839 0.977283 51.4903 22 5917545 1001 1 1 0.00150883 0.00150883 2 
1456.99 -1297.48 -50 0.0707413 -0.085022 0.832767 52.9593 22 6003630 1001 1 1 0.0526872 0.0526872 2 
-413.839 -1262.75 -50 0.0488232 -0.162763 0.832286 52.6754 22 6202488 1001 1 1 0 0 1 
1474.69 -1123.95 -50 0.130775 -0.114255 1.25826 52.7624 22 6240010 1001 1 1 0 0 1 
1420.12 -1211.85 -50 0.0823585 -0.0741353 0.860629 51.4855 22 6252245 1001 1 1 0.867675 0.867675 10 
